Este		Norte
954207.765    1704451.056
954079.255    1704701.956
954244.482    1704744.793
954489.263    1704732.554
954966.586    1704634.641
955321.518    1704634.641
955535.701    1704665.239
955713.168    1704750.912
956184.371    1704763.151
956545.423    1704830.466
956826.921    1704940.618
956857.519    1704989.574
956863.638    1705130.323
956814.682    1705167.04
956704.531    1705197.638
956471.989    1705179.279
956325.12     1705197.638
956190.491    1705173.159
956086.459    1705118.084
955921.232    1705173.159
955707.048    1705338.387
955633.614    1705424.06
955798.841    1705387.343
956049.742    1705258.833
956110.937    1705271.072
956214.969    1705442.419
956423.033    1705509.733
956533.184    1705479.136
956612.738    1705430.18
956857.519    1705399.582
957010.507    1705234.355
957053.344    1705154.801
957047.224    1705075.247
956918.714    1704854.944
956943.192    1704781.51
957053.344    1704689.717
957536.786    1704389.86
957585.742    1704371.502
957597.981    1704365.382
958136.5      1704365.382
958142.619    1704377.621
958742.333    1704334.785
958834.125    1704377.621
959097.265    1704597.924
959262.492    1704689.717
959446.078    1704732.554
959592.946    1704726.434
959727.576    1704671.358
959843.847    1704659.119
960223.258    1704744.793
960308.931    1704812.108
960400.724    1704824.347
960816.851    1704536.729
961037.154    1704481.653
961190.143    1704377.621
961667.465    1704157.318
961881.649    1704083.884
962291.657    1704077.765
962609.872    1704157.318
962836.295    1704163.438
963429.889    1704090.004
963717.506    1704096.123
964286.622    1704230.753
964360.056    1704316.426
964372.295    1704316.426
964629.316    1704322.546
964904.694    1704432.697
965382.017    1704524.49
965761.428    1704555.087
965908.296    1704628.522
966208.153    1704989.574
966391.739    1705050.769
966550.846    1705038.53
967266.831    1704677.478
967921.62     1704555.087
968160.281    1704561.207
969047.613    1704677.478
969427.023    1704787.629
969610.609    1704873.303
969677.924    1704958.976
970173.605    1705142.562
970289.876    1705215.996
970626.45     1705289.43
971177.207    1705289.43
971538.259    1705375.104
971770.801    1705503.614
971868.714    1705589.287
972278.722    1705681.08
972707.088    1705558.69
973037.543    1705540.331
973349.639    1705638.243
973386.356    1705668.841
973582.181    1705748.395
973882.037    1705742.275
973961.591    1705803.471
974077.862    1705852.427
974341.002    1705815.71
974481.751    1705840.188
974561.305    1705883.024
974653.097    1706054.371
974732.651    1706140.044
974879.52     1706170.642
975026.388    1706317.511
975460.875    1706507.216
975681.178    1706513.335
975748.492    1706556.172
975828.046    1706525.574
975919.839    1706592.889
976017.751    1706482.738
976121.783    1706427.662
976152.381    1706384.825
976244.174    1706421.543
976280.891    1706550.053
976274.772    1706690.802
976293.13     1706739.758
976342.086    1706770.355
976397.162    1706654.085
976397.162    1706494.977
976427.76     1706464.379
976482.835    1706476.618
976678.66     1706862.148
976727.616    1707002.897
