"x","y"
754872.14577437,1445316.56655167
755882.980187611,1444989.69187382
756588.792368148,1445107.41541554
758290.969168941,1444134.62689815
759752.472421616,1443539.70330084
760958.151611914,1442437.10245288
762288.593214745,1441986.79582862
763684.27345686,1441326.02090488
763615.029926423,1440817.2290729
764755.957168444,1439980.81532801
764872.312806279,1439139.03771992
765062.875994758,1437732.36825716
765306.494203996,1435882.7343439
765364.302491223,1434476.80812539
765726.483646389,1432161.69559915
766037.854716698,1430687.99770566
766413.981916153,1428903.95818551
766530.455948559,1428062.20509252
766842.280072893,1426654.91819162
767032.70814333,1425181.90748075
767081.307309344,1423908.9438766
766954.54378151,1423013.1034686
766512.947424932,1422827.40662006
764410.636692454,1421245.04569522
762803.804959073,1419726.52547955
761407.453877736,1418273.26860828
760577.285779028,1417635.88240851
759297.125191254,1415473.65319087
757304.678349347,1411987.21053295
755580.963808725,1409373.58804553
754102.402045817,1407157.18428479
752380.315763115,1404742.87212118
750714.182032511,1402582.86655502
749359.2549881,1398948.99776106
748271.262091794,1397748.73963582
747373.031557768,1395008.77664835
746260.160218321,1393453.2477721
745961.570440574,1393035.45385535
745126.043989822,1391579.15920364
745190.228100254,1391324.18024666
744863.118723699,1390042.11166291
744411.972125114,1388262.60591367
744210.07384421,1387688.13322064
743696.017159598,1386539.92176689
743571.916654434,1386031.50735325
742870.527641858,1384950.76332133
742799.056659147,1383932.81573186
742664.934234087,1383734.28114904
742466.067272287,1381632.30393578
742587.620108721,1379772.03123459
742450.740971547,1378942.67118358
742315.973742667,1376707.47689315
741987.034856426,1375115.41065413
741863.988690074,1374795.14725835
741726.730994336,1373899.33383596
741087.738011103,1372120.85562997
740695.837348107,1371160.03199571
738901.576746728,1368048.78173324
738067.332872155,1366902.30876029
737482.900972242,1365123.50387651
737156.729060244,1364040.58199261
736644.217966396,1363213.29261134
735172.043239019,1360542.93327905
734201.006315139,1358633.52474047
733415.328919797,1354542.2967686
733071.895915523,1351931.84508923
732953.903087914,1351035.88438628
732561.035884327,1348027.24211853
732040.012733932,1345738.8162607
731450.677626432,1342996.88218417
731440.863419644,1341270.11218944
730920.127608881,1339036.98077712
730978.192449351,1337686.17283757
731359.490241884,1336720.97411532
731923.725700334,1334869.15037759
732358.797242787,1333715.49923492
732671.441007224,1332363.28747402
734317.406422203,1330428.02026888
734945.859628066,1328254.9734362
735438.501338327,1325429.62781888
736650.257229752,1324780.95669709
737776.875832234,1322727.06611348
738858.054294308,1320352.46611152
739985.209758206,1318354.00433131
740684.879864049,1316944.52285496
741120.084054031,1315724.68078537
742762.712946565,1312959.90833908
743396.621234547,1311672.62526314
744287.514345803,1310837.81374076
746125.098428309,1309345.10354156
747516.978261707,1307223.93082457
748407.683994076,1306322.84988899
749739.163402288,1305220.32847751
750313.163087154,1305029.27631755
784708.06435351,1305033.44749321
797828.959294825,1306715.28323253
805602.922042042,1308885.87304529
806252.464304616,1311184.76323483
807335.035755784,1311114.0736943
808033.7039737,1311996.53779624
809053.435083315,1312888.77942736
810143.391847191,1314732.2754468
811675.505964072,1316762.20528773
813021.36641685,1319246.49149338
814364.904777714,1321155.41144056
816150.747582108,1323317.1665098
817491.847736959,1324639.78304866
818712.823011726,1326294.82341701
819668.137212596,1327884.45240022
821212.135825923,1330368.01930659
821661.822161452,1332601.28355647
822552.695318567,1334578.40162713
823322.299368132,1336799.39179971
823272.686721785,1338403.80072027
823977.53597248,1340890.55059723
824489.58508045,1342039.31924661
825443.292877935,1343308.10844443
826916.92007675,1344696.70154571
829460.007905782,1346147.79842871
831503.605003142,1346649.35659944
833215.552111613,1346953.02290074
834043.181663484,1346950.09116231
835187.795670637,1346105.26456145
836264.855788012,1344950.93820865
837278.930563741,1344560.21027904
838424.981269058,1344102.63806691
839439.310887676,1343778.37890188
840333.454053431,1343764.26372249
841094.600017649,1343761.69191875
841988.960398484,1343813.97043836
842629.300571306,1343944.60639985
843071.516646497,1343998.46927827
843139.326139321,1344639.8710114
843716.071133935,1345401.27942009
844347.120468585,1346040.86513633
844538.016986241,1346991.61896077
844167.009449294,1348342.5684797
845250.067401428,1348715.10355367
845948.17709343,1349796.96159678
846459.153048684,1350813.07701601
846781.551347526,1351575.33813166
846400.623561783,1352981.58418655
846148.520471638,1353624.09061894
846341.093897311,1355094.813445
848128.961381896,1355343.36279762
848891.13336905,1355462.57757883
851056.778545625,1356462.29107409
853220.741873157,1356964.28690566
854877.487845476,1357589.65482122
857296.407705343,1358655.18752625
858821.082918393,1359347.44381347
860413.529806419,1360482.05281424
860860.702680318,1362527.22020749
860997.836660381,1364186.14270151
861699.474624622,1366352.28730174
861834.288603204,1367247.93310934
862529.206582816,1368038.34818792
863173.439333482,1368770.4756998
864563.713143574,1368832.75238437
865456.845679589,1368951.75698196
866729.640338677,1370286.57785364
866731.479730415,1370917.12776464
867186.854516496,1372132.60158767
867629.214831622,1372640.17887758
868578.437698328,1372692.76450092
869151.597788949,1372757.47236005
869913.377724738,1372876.98094223
870301.996786688,1374026.3050769
870625.513277594,1375363.91458732
871764.154915273,1376378.40117852
872593.844304631,1377338.39148984
873426.258669517,1378984.31338579
874828.369086116,1379810.12749089
875021.845199128,1379808.22063515
876416.553009429,1379794.68051511
879271.766365346,1379842.24301598
881631.309732528,1379824.92548199
884421.848106141,1380260.13556319
887090.684462358,1380496.7538597
888743.938459971,1380293.59105637
890585.075899922,1380211.66486384
892438.700071304,1380782.3407589
895427.014010214,1381007.60609928
899298.216979255,1381496.59829214
901966.387057197,1381545.99619392
903245.435914249,1381797.6677045
906039.510541757,1383760.64931135
908524.351092456,1385978.7337809
908901.843345206,1387570.79146815
910174.925914046,1389990.4711057
912031.093383251,1392221.15271959
913742.648250318,1394120.21646126
914758.934324969,1395268.5613227
916348.45878649,1396338.52080644
917016.714232699,1396683.46329399
918573.506301112,1396013.60600534
920036.621658355,1394661.50142669
921303.47435428,1394017.69455441
922061.686299587,1392921.34581397
923084.378983831,1391570.23913242
926320.947144113,1388998.72691434
928543.431026693,1386816.20148453
930887.483138902,1384246.50604349
934256.869863647,1381542.75697167
937173.26033594,1378209.4720393
939837.972456236,1375695.14953007
942448.719076816,1373512.90820922
946126.199261653,1369725.83551013
947705.957976442,1368123.38950694
948538.737027013,1367278.79076338
949496.008063994,1365618.73867492
949560.230372353,1363572.58326662
949424.557225464,1360310.03234402
949938.331701508,1356095.59724239
950001.354670963,1353662.35753066
951144.857517511,1350276.79939978
952091.455369435,1347588.25424331
953678.097502773,1345982.96467998
955905.035339703,1343990.09233977
956290.137531781,1342640.39651101
954886.677835159,1340606.74037675
952091.959544069,1337302.58430963
950115.305549727,1335711.99790772
947951.266776536,1334575.12933801
946747.124625227,1333625.33483267
945918.000033083,1332287.99403802
945981.40574197,1329534.01165104
945537.626592386,1328008.23192877
944961.148033067,1325332.39832038
942924.120979219,1320291.45603981
941452.703939089,1317362.36067081
940942.919151043,1315770.34859303
941138.301929755,1312960.8798207
941645.27812492,1312186.08389364
942594.018671527,1311731.52494687
943166.29621899,1310580.60049008
943552.046255518,1309817.04444569
943992.624760857,1309108.69865934
944819.575301809,1308145.57117695
946032.715060435,1306728.54836551
947368.4711162,1306472.75337916
949145.299399768,1305055.21841144
950357.862388694,1303704.71301467
950798.811660979,1302366.0769112
951371.831312455,1301657.67924408
951945.592117745,1300827.624979
952961.437490935,1300627.57179101
954043.720462233,1301201.70336325
954938.648870954,1301444.15625065
955700.241237816,1301443.47058835
956528.610613226,1301697.1382732
956915.685794767,1302139.1534767
957104.827298197,1303609.91279033
957425.664993159,1304439.12651097
958563.779841511,1305455.65469587
960541.468410563,1307234.62244345
960984.033968284,1308705.1905774
961371.972689039,1310363.81014856
961560.605646928,1311381.15664328
961881.469187255,1312398.40070675
962323.7076871,1313548.23775787
963473.404679148,1314697.59647971
964168.947318398,1315648.17983877
964556.128922026,1316477.38595783
965693.773992882,1317427.66981473
965948.246114684,1317615.54850608
966267.616515132,1316664.17534311
966839.890451845,1314805.78137183
967225.613882851,1313522.60903902
967478.029587875,1311863.52159076
967477.178401224,1310580.61227253
968050.967142313,1309562.74678009
968877.953220641,1307958.56875745
968689.217071336,1306554.12009558
967860.337059951,1305282.82123693
966711.684144585,1304586.83466554
965694.859498162,1303315.69639021
965065.159253495,1302741.05095133
964169.936853761,1301978.54753539
962447.242254812,1301028.72699465
961871.794659454,1299878.93878367
961816.056851924,1298607.14601251
962001.67844485,1296749.00859447
962321.24477596,1294835.45301524
962254.389471163,1294448.42154277
962452.326950063,1293231.76054337
962558.054442189,1292641.83061242
962704.906279045,1291827.00477777
962194.360763122,1288575.85223072
961872.839306255,1286850.84200119
961684.429074589,1286209.50621175
961749.60062995,1284351.47027477
962951.930755201,1281663.11534777
963723.363554295,1279682.91882823
964042.243843028,1277703.0543076
964737.165623428,1275844.59496275
966327.11026215,1273664.81826339
967032.254834134,1271751.12604581
967794.168937768,1270213.36053606
967858.491396912,1267912.96048317
967670.265883582,1266187.84820247
967857.065911074,1265612.65621016
968564.154016409,1265225.14811877
