date,lat,long,elev,tmin,tmax
2018-03-01,7.75,-77.25,8,22.0,31.5
2018-03-02,7.75,-77.25,8,22.7,31.6
2018-03-03,7.75,-77.25,8,23.3,30.5
2018-03-04,7.75,-77.25,8,18.4,27.8
2018-03-05,7.75,-77.25,8,23.5,30.8
2018-03-06,7.75,-77.25,8,23.3,30.8
2018-03-07,7.75,-77.25,8,22.7,31.7
2018-03-08,7.75,-77.25,8,23.2,30.9
2018-03-09,7.75,-77.25,8,24.4,30.8
2018-03-10,7.75,-77.25,8,23.6,31.6
2018-03-11,7.75,-77.25,8,24.9,32.4
2018-03-12,7.75,-77.25,8,24.9,32.0
2018-03-13,7.75,-77.25,8,25.0,31.0
2018-03-14,7.75,-77.25,8,24.9,31.1
2018-03-15,7.75,-77.25,8,24.7,31.3
2018-03-16,7.75,-77.25,8,24.1,31.3
2018-03-17,7.75,-77.25,8,23.9,32.2
2018-03-18,7.75,-77.25,8,22.8,30.2
2018-03-19,7.75,-77.25,8,22.9,31.6
2018-03-20,7.75,-77.25,8,24.0,31.2
2018-03-21,7.75,-77.25,8,24.2,31.4
2018-03-22,7.75,-77.25,8,24.2,29.8
2018-03-23,7.75,-77.25,8,24.2,32.2
2018-03-24,7.75,-77.25,8,24.4,32.0
2018-03-25,7.75,-77.25,8,23.6,29.5
2018-03-26,7.75,-77.25,8,24.0,32.0
2018-03-27,7.75,-77.25,8,24.2,31.6
2018-03-28,7.75,-77.25,8,24.4,31.9
2018-03-29,7.75,-77.25,8,25.0,32.5
2018-03-30,7.75,-77.25,8,24.7,31.9
2018-03-31,7.75,-77.25,8,24.4,31.3
2018-04-01,7.75,-77.25,8,22.8,28.8
2018-04-02,7.75,-77.25,8,22.8,30.4
2018-04-03,7.75,-77.25,8,23.2,30.9
2018-04-04,7.75,-77.25,8,23.5,31.8
2018-04-05,7.75,-77.25,8,23.6,32.0
2018-04-06,7.75,-77.25,8,22.5,32.9
2018-04-07,7.75,-77.25,8,22.5,33.3
2018-04-08,7.75,-77.25,8,22.7,33.1
2018-04-09,7.75,-77.25,8,23.4,33.2
2018-04-10,7.75,-77.25,8,23.8,31.6
2018-04-11,7.75,-77.25,8,23.8,34.1
2018-04-12,7.75,-77.25,8,21.5,32.3
2018-04-13,7.75,-77.25,8,22.9,32.5
2018-04-14,7.75,-77.25,8,23.0,32.7
2018-04-15,7.75,-77.25,8,23.5,32.4
2018-04-16,7.75,-77.25,8,24.0,30.3
2018-04-17,7.75,-77.25,8,24.3,32.1
2018-04-18,7.75,-77.25,8,24.6,31.2
2018-04-19,7.75,-77.25,8,24.6,32.7
2018-04-20,7.75,-77.25,8,27.3,32.2
2018-04-21,7.75,-77.25,8,26.2,31.1
2018-04-22,7.75,-77.25,8,24.1,29.9
2018-04-23,7.75,-77.25,8,23.9,31.2
2018-04-24,7.75,-77.25,8,24.3,29.8
2018-04-25,7.75,-77.25,8,23.9,29.8
2018-04-26,7.75,-77.25,8,24.2,30.1
2018-04-27,7.75,-77.25,8,22.4,29.0
2018-04-28,7.75,-77.25,8,23.0,29.8
2018-04-29,7.75,-77.25,8,22.1,33.4
2018-04-30,7.75,-77.25,8,22.8,33.6
2018-05-01,7.75,-77.25,8,24.4,29.7
2018-05-02,7.75,-77.25,8,23.5,31.1
2018-05-03,7.75,-77.25,8,24.2,27.4
2018-05-04,7.75,-77.25,8,22.4,30.9
2018-05-05,7.75,-77.25,8,23.2,29.9
2018-05-06,7.75,-77.25,8,23.1,32.2
2018-05-07,7.75,-77.25,8,22.6,32.0
2018-05-08,7.75,-77.25,8,23.1,31.3
2018-05-09,7.75,-77.25,8,23.2,29.2
2018-05-10,7.75,-77.25,8,23.2,31.0
2018-05-11,7.75,-77.25,8,22.7,28.4
2018-05-12,7.75,-77.25,8,22.8,31.9
2018-05-13,7.75,-77.25,8,22.8,29.2
2018-05-14,7.75,-77.25,8,23.5,31.0
2018-05-15,7.75,-77.25,8,22.6,31.8
2018-05-16,7.75,-77.25,8,23.7,30.0
2018-05-17,7.75,-77.25,8,23.4,31.9
2018-05-18,7.75,-77.25,8,23.7,29.4
